id,D,R,GR,LB,C,O,I,total
ALH01,2,3,,,,,,5
ALH02,2,3,,,,,,5
ALH03,2,3,,,,,,5
ALH04,1,4,,,,,,5
ALH05,2,3,,,,,,5
ALH06,1,4,,,,,,5
ALH07,3,1,1,,,,,5
AKH01,2,3,,,,,,5
AZH01,3,2,,,,,,5
AZH02,3,2,,,,,,5
AZH03,3,2,,,,,,5
AZH04,1,4,,,,,,5
AZH05,2,3,,,,,,5
AZH06,2,3,,,,,,5
AZH07,3,1,1,,,,,5
AZH08,2,3,,,,,,5
AZH09,3,2,,,,,,5
ARH01,1,4,,,,,,5
ARH02,2,3,,,,,,5
ARH03,2,3,,,,,,5
ARH04,1,4,,,,,,5
CAH01,2,3,,,,,,5
CAH02,4,1,,,,,,5
CAH03,3,2,,,,,,5
CAH04,2,3,,,,,,5
CAH05,3,,,,,2,,5
CAH06,3,1,1,,,,,5
CAH07,3,2,,,,,,5
CAH08,1,3,,1,,,,5
CAH09,3,2,,,,,,5
CAH10,3,2,,,,,,5
CAH11,4,1,,,,,,5
CAH12,5,0,,,,,,5
CAH13,3,1,1,,,,,5
CAH14,4,1,,,,,,5
CAH15,4,1,,,,,,5
CAH16,3,2,,,,,,5
CAH17,4,1,,,,,,5
CAH18,4,1,,,,,,5
CAH19,4,1,,,,,,5
CAH20,3,,,,,2,,5
CAH21,3,2,,,,,,5
CAH22,2,3,,,,,,5
CAH23,2,3,,,,,,5
CAH24,3,2,,,,,,5
CAH25,3,2,,,,,,5
CAH26,3,2,,,,,,5
CAH27,3,1,1,,,,,5
CAH28,4,1,,,,,,5
CAH29,4,1,,,,,,5
CAH30,4,1,,,,,,5
CAH31,3,2,,,,,,5
CAH32,4,1,,,,,,5
CAH33,4,1,,,,,,5
CAH34,2,,3,,,,,5
CAH35,4,1,,,,,,5
CAH36,3,2,,,,,,5
CAH37,5,0,,,,,,5
CAH38,4,1,,,,,,5
CAH39,3,2,,,,,,5
CAH40,3,,2,,,,,5
CAH41,3,2,,,,,,5
CAH42,2,3,,,,,,5
CAH43,4,1,,,,,,5
CAH44,3,1,1,,,,,5
CAH45,3,2,,,,,,5
CAH46,4,1,,,,,,5
CAH47,3,2,,,,,,5
CAH48,3,2,,,,,,5
CAH49,3,2,,,,,,5
CAH50,2,3,,,,,,5
CAH51,4,1,,,,,,5
CAH52,3,2,,,,,,5
